HDI_rank,Country,HDI_Value,Life_Expectancy,Expected_Schooling_Years,Mean_Schooling_Years,GNI_Per_Capita,GNI_HDI_Rank_Difference
89.0,Brazil,0.76,73.4,15.6,8.3,14616.0,0.0
91.0,Colombia,0.758,73.7,14.4,8.9,15014.0,-8.0
92.0,Libya,0.746,72.2,14.0,7.8,19752.0,-25.0
93.0,Algeria,0.745,77.1,15.5,7.0,10978.0,13.0
94.0,Turkmenistan,0.744,69.4,13.2,11.1,12860.0,1.0
95.0,Guyana,0.742,66.0,13.0,8.6,35783.0,-54.0
96.0,Mongolia,0.741,72.7,14.5,9.4,10351.0,15.0
97.0,Dominica,0.74,73.0,13.6,9.2,12468.0,-1.0
98.0,Tonga,0.739,71.3,16.3,10.9,6360.0,34.0
99.0,Jordan,0.736,74.2,12.6,10.4,9295.0,15.0
100.0,Ukraine,0.734,68.6,13.3,11.1,11416.0,3.0
101.0,Tunisia,0.732,74.3,14.6,8.0,10297.0,11.0
102.0,Marshall Islands,0.731,65.1,16.4,12.8,6855.0,28.0
102.0,Paraguay,0.731,70.5,13.9,8.9,13161.0,-9.0
104.0,Fiji,0.729,68.3,13.8,10.4,11234.0,0.0
105.0,Egypt,0.728,70.2,12.9,9.8,12361.0,-8.0
106.0,Uzbekistan,0.727,71.7,12.0,11.9,8056.0,16.0
107.0,Viet Nam,0.726,74.6,13.1,8.5,10814.0,0.0
108.0,Saint Lucia,0.725,71.3,12.7,8.6,14778.0,-21.0
109.0,Lebanon,0.723,74.4,12.1,8.6,12313.0,-11.0
110.0,South Africa,0.717,61.5,14.3,11.6,13186.0,-18.0
112.0,Indonesia,0.713,68.3,14.0,8.6,12046.0,-12.0
113.0,Philippines,0.71,72.2,12.8,9.0,9059.0,5.0
114.0,Botswana,0.708,65.9,11.4,10.4,14842.0,-29.0
115.0,Jamaica,0.706,70.6,12.5,9.2,9695.0,-2.0
116.0,Samoa,0.702,72.6,12.4,11.4,4970.0,25.0
117.0,Kyrgyzstan,0.701,70.5,13.0,12.0,4782.0,28.0
118.0,Belize,0.7,71.0,12.4,8.8,9242.0,-3.0
119.0,Venezuela (Bolivarian Republic of),0.699,71.1,13.5,9.6,6184.0,14.0
120.0,Bolivia (Plurinational State of),0.698,64.9,15.0,9.8,7988.0,3.0
120.0,Morocco,0.698,75.0,14.6,6.1,7955.0,4.0
122.0,Nauru,0.696,64.0,12.6,9.2,14939.0,-38.0
123.0,Gabon,0.693,65.7,12.4,9.6,11194.0,-18.0
124.0,Suriname,0.69,70.3,11.0,8.4,12310.0,-25.0
125.0,Bhutan,0.681,72.2,13.1,5.8,10625.0,-15.0
126.0,Tajikistan,0.679,71.3,10.9,11.3,4807.0,18.0
127.0,El Salvador,0.674,71.5,11.9,7.2,8886.0,-7.0
128.0,Iraq,0.673,71.3,12.2,6.8,9092.0,-11.0
129.0,Bangladesh,0.67,73.7,11.9,7.4,6511.0,2.0
130.0,Nicaragua,0.669,74.6,12.6,7.3,5427.0,4.0
131.0,Cabo Verde,0.661,74.7,11.5,6.1,7601.0,-4.0
132.0,Tuvalu,0.653,64.9,12.1,10.6,4754.0,15.0
133.0,Equatorial Guinea,0.65,61.2,12.1,8.3,10663.0,-24.0
134.0,India,0.644,67.7,12.6,6.6,6951.0,-6.0
135.0,Micronesia (Federated States of),0.634,70.9,12.6,7.3,3709.0,18.0
136.0,Guatemala,0.629,68.7,10.8,5.7,8996.0,-17.0
137.0,Kiribati,0.628,67.7,11.8,9.1,3440.0,21.0
138.0,Honduras,0.624,70.7,10.0,7.3,5272.0,2.0
139.0,Lao People's Democratic Republic,0.62,69.0,10.2,5.9,7745.0,-13.0
140.0,Vanuatu,0.614,70.5,11.8,7.2,3244.0,21.0
141.0,Sao Tome and Principe,0.613,68.8,12.7,5.9,4054.0,8.0
142.0,Eswatini (Kingdom of),0.61,56.4,14.9,5.7,8392.0,-21.0
142.0,Namibia,0.61,58.1,11.8,7.2,9200.0,-26.0
144.0,Myanmar,0.608,67.3,12.1,6.5,4038.0,6.0
145.0,Ghana,0.602,63.9,11.6,6.4,5380.0,-10.0
146.0,Kenya,0.601,62.1,11.4,7.7,4808.0,-3.0
146.0,Nepal,0.601,70.5,12.6,4.5,4026.0,5.0
148.0,Cambodia,0.6,69.9,11.6,5.2,4291.0,0.0
149.0,Congo,0.593,63.1,12.4,8.3,2903.0,14.0
150.0,Angola,0.591,61.9,12.2,5.8,5328.0,-11.0
151.0,Cameroon,0.587,61.0,13.4,6.5,3681.0,3.0
152.0,Comoros,0.586,63.7,13.0,6.2,3261.0,8.0
153.0,Zambia,0.569,61.8,11.0,7.3,3157.0,9.0
154.0,Papua New Guinea,0.568,66.0,11.1,4.9,3710.0,-2.0
155.0,Timor-Leste,0.566,69.1,13.2,6.0,1629.0,24.0
156.0,Solomon Islands,0.562,70.7,10.3,5.9,2273.0,14.0
157.0,Syrian Arab Republic,0.557,72.3,7.4,5.7,3594.0,-2.0
158.0,Haiti,0.552,63.7,11.1,5.6,2802.0,6.0
159.0,Uganda,0.55,63.6,11.5,6.2,2241.0,12.0
159.0,Zimbabwe,0.55,59.4,11.0,8.8,2079.0,15.0
161.0,Nigeria,0.548,53.6,10.5,7.6,4755.0,-15.0
161.0,Rwanda,0.548,67.1,11.4,4.9,2317.0,8.0
163.0,Togo,0.547,61.6,13.0,5.6,2214.0,9.0
164.0,Mauritania,0.54,64.7,8.1,4.8,5344.0,-26.0
164.0,Pakistan,0.54,66.4,7.9,4.4,5374.0,-27.0
166.0,Côte d'Ivoire,0.534,58.9,10.1,4.2,5376.0,-30.0
167.0,Tanzania (United Republic of),0.532,66.8,8.6,5.6,2578.0,-1.0
168.0,Lesotho,0.521,53.0,11.1,7.5,2709.0,-3.0
169.0,Senegal,0.517,67.9,9.1,2.9,3464.0,-12.0
170.0,Sudan,0.516,65.6,8.5,3.9,3515.0,-14.0
171.0,Djibouti,0.515,62.9,8.0,3.9,4875.0,-29.0
172.0,Malawi,0.508,62.9,11.5,5.2,1432.0,10.0
